127.0.0.1 - - [04/Aug/2017:11:59:31 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:02:59 +0530] "GET /pvs-inventory/css/style2.css HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:02:59 +0530] "GET /pvs-inventory/csalesmemeoentry HTTP/1.1" 200 119268
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:03:00 +0530] "GET /pvs-inventory/css/style2.css HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:03:01 +0530] "GET /pvs-inventory/Body/inventory_transaction/getname.jsp?count= HTTP/1.1" 200 256
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:03:40 +0530] "GET /pvs-inventory/Body/inventory_transaction/areacode.jsp?count=a HTTP/1.1" 200 8
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:03:40 +0530] "GET /pvs-inventory/Body/inventory_transaction/getcity.jsp?count=a HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:03:44 +0530] "GET /pvs-inventory/Body/inventory_transaction/areacode.jsp?count=Kolkata HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:03:44 +0530] "GET /pvs-inventory/Body/inventory_transaction/getcity.jsp?count=Kolkata HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:03:49 +0530] "GET /pvs-inventory/Body/inventory_transaction/areacode.jsp?count=Kolkata HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:03:49 +0530] "GET /pvs-inventory/Body/inventory_transaction/getcity.jsp?count=Kolkata HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:03:49 +0530] "GET /pvs-inventory/csalesmemeoentry HTTP/1.1" 200 119268
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:03:49 +0530] "GET /pvs-inventory/css/style2.css HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:03:49 +0530] "GET /pvs-inventory/css/style2.css HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:03:51 +0530] "GET /pvs-inventory/Body/inventory_transaction/getname.jsp?count= HTTP/1.1" 200 256
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:04:00 +0530] "GET /pvs-inventory/Body/inventory_transaction/getcity.jsp?count=a HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:04:00 +0530] "GET /pvs-inventory/Body/inventory_transaction/areacode.jsp?count=a HTTP/1.1" 200 8
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:04:02 +0530] "GET /pvs-inventory/Body/inventory_transaction/getcity.jsp?count=Kolkata HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:04:02 +0530] "GET /pvs-inventory/Body/inventory_transaction/areacode.jsp?count=Kolkata HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:04:08 +0530] "GET /pvs-inventory/Body/inventory_transaction/salecode.jsp?count=a HTTP/1.1" 200 8
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:04:09 +0530] "GET /pvs-inventory/Body/inventory_transaction/salecode.jsp?count=SALES%20NAME%20NAME%201 HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:04:11 +0530] "GET /pvs-inventory/Body/inventory_transaction/paddress.jsp?count=ram HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:04:19 +0530] "GET /pvs-inventory/Body/inventory_transaction/meteriallistvalue.jsp?count=CYCLEbubunPQ0005bubun0 HTTP/1.1" 500 5607
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:04:37 +0530] "GET /pvs-inventory/Body/inventory_transaction/meteriallistvalue.jsp?count=xbubunPQ0005bubun0 HTTP/1.1" 500 5607
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:04:52 +0530] "GET /pvs-inventory/Body/inventory_transaction/popup.jsp?count=PCI00190 HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:05:04 +0530] "GET /pvs-inventory/Body/inventory_transaction/popup.jsp?count=PCI00190 HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:05:40 +0530] "GET /pvs-inventory/Body/inventory_transaction/meteriallistvalue.jsp?count=xbubunPQ0005bubun0 HTTP/1.1" 500 5607
