127.0.0.1 - - [08/Aug/2017:11:48:47 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:48:50 +0530] "GET /pvs-inventory/login.jsp HTTP/1.1" 200 1666
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:48:50 +0530] "GET /pvs-inventory/css/style1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:48:50 +0530] "GET /pvs-inventory/account-5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:49:27 +0530] "GET /pvs-inventory/login.jsp HTTP/1.1" 200 1666
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:49:30 +0530] "GET /pvs-inventory/css/style1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:49:30 +0530] "GET /pvs-inventory/account-5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:49:30 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:49:38 +0530] "POST /pvs-inventory/j_spring_security_check;jsessionid=AF38405F61981CF48B9789271DFCDF7A HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:49:38 +0530] "GET /pvs-inventory/index.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:49:42 +0530] "GET /pvs-inventory/loader1 HTTP/1.1" 200 3415
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:49:43 +0530] "GET /pvs-inventory/css/style2.css HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:49:44 +0530] "GET /pvs-inventory/js/tablefilter.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:49:44 +0530] "GET /pvs-inventory/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:49:44 +0530] "GET /pvs-inventory/css/draftbutton.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:49:44 +0530] "GET /pvs-inventory/css/printbutton.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:49:44 +0530] "GET /pvs-inventory/css/breadcumbs.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:49:44 +0530] "GET /pvs-inventory/css/jquery.dataTables.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:49:44 +0530] "GET /pvs-inventory/css/style2.css HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:49:53 +0530] "POST /pvs-inventory/load.action HTTP/1.1" 200 11670
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:49:54 +0530] "GET /pvs-inventory/js/packed.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:49:54 +0530] "GET /pvs-inventory/js/tinydropdown.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:50:05 +0530] "GET /pvs-inventory/css/style2.css HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:50:06 +0530] "GET /pvs-inventory/css/easyui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:50:06 +0530] "GET /pvs-inventory/css/style2.css HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:50:06 +0530] "GET /pvs-inventory/js/dynamictable.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:50:06 +0530] "GET /pvs-inventory/js/jquery.easyui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:50:06 +0530] "GET /pvs-inventory/csalesmemeoentry HTTP/1.1" 200 115899
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:50:07 +0530] "GET /pvs-inventory/images/header-bg.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:50:07 +0530] "GET /pvs-inventory/images/breadcrumbs.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:50:09 +0530] "GET /pvs-inventory/Body/inventory_transaction/getname.jsp?count= HTTP/1.1" 200 362
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:50:17 +0530] "GET /pvs-inventory/printdetails.jsp?value=43 HTTP/1.1" 200 24078
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:50:18 +0530] "GET /pvs-inventory/css/style2.css HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [08/Aug/2017:11:50:18 +0530] "GET /pvs-inventory/css/style2.css HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [08/Aug/2017:12:08:58 +0530] "GET /pvs-inventory/csalesmemeoupdate.action?id=43 HTTP/1.1" 200 122263
0:0:0:0:0:0:0:1 - - [08/Aug/2017:12:08:58 +0530] "GET /pvs-inventory/struts/js/base/jquery-1.5.2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2017:12:08:58 +0530] "GET /pvs-inventory/struts/js/base/jquery.ui.core.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2017:12:08:58 +0530] "GET /pvs-inventory/struts/js/plugins/jquery.subscribe.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2017:12:08:58 +0530] "GET /pvs-inventory/struts/js/struts2/jquery.struts2-3.1.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2017:12:08:58 +0530] "GET /pvs-inventory/css/style2.css HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [08/Aug/2017:12:08:58 +0530] "GET /pvs-inventory/struts/themes/smoothness/jquery-ui.css HTTP/1.1" 304 -
